"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"Ojo Pueblo",0,0,0,37.97,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eagle Crag",0,0,0,0.25,0.59,0,5,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0.85,0,10.59,0,0.14
"Eighteen Mile Ruin",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,1
"Wide Reed Ruin",0,0,0,189.89,343.88,0,0,0,7,0.38,0,0,14.44,0,0,0,0,0,0,0,0,9.12,0,4.27,0,0
"Hogay Ruin",0,0,0,3.9,8.85,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,1.26,0,37.37,0,0
"Togetzoge",0,3.49,0,0,0,0,0,0,0,20.03,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0
"Gila Pueblo",0,0,0,0,1,0,0,0,0,0,0,0,0,485.96,0,0,0,43.14,0,3.31,0,0,0,0,0,0
"Chevelon",0,0,0,3.51,2,0,2.07,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0,3,0,4,12,0
"Dinwiddie",0,9.81,0,0,0,0,0,143.97,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hukovi",0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,131,0,0
"Old Shongopavi I",0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Lululongturqi",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.45,0,0
"Pink Arrow",0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,13,0,0
"Kawaikaa",0,0,0,31.2,8,0,3.5,0,9,0.14,0,0,0,0,0,0,0,0,0,0,0,8,0,34,0,0
"Hubble Corner",0,0,0,120.93,159.05,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"Owens-Colvin",0,0,0,3.78,1.1,0,0,0,0,0,0,0,0,14.75,1.83,0,0,0,0,34,0,0,0,0,0,0
"Fischer site",0,0,0,0,8,0,0,0,0,0,0,2.68,0,0.15,3,0,0,0.39,0,0.21,0,0,0,0,0,0
"Yuma Wash Site",0,0,0,1.67,23,0,0,0,0,0,0,8.34,0,0.87,0,0,0,0,0,5.28,0,0,0,0,0,2.39
"Emigrant Springs",0,0,0,32,15,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rocky Point",0,0,0,46.2,46.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wide Ruins",0,0,0,0,1,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Schoolhouse Point Mound",0,0,0,2386.54,54.94,0,0,0,0,66.13,0,1.86,0,56.66,250.84,0,0,249.83,169.73,67.99,0,0,18.8,1.22,0,0.36
"Cooper Forks Cliff Dwelling",0,0,0,1.39,4,0,0,0,0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Roundy Ruin",0,0,0,1449.43,14.31,0,0,0,0,0,0,0,0,0,197.6,0,0,0,0,0,0,0,0,1.76,0,0
"Shumway Ruin",0,0,0,80.57,0,0,0,0,2,13.36,0,0,0,0,5,0,0,2.47,0,0,0,0,0,0,0,0.32
"Fourmile Ruin",0,0,0,211.31,0,0,4.49,0,12,47.23,0,0,0,0,3.97,0,0,9.87,0.37,0,0,0,0,0,0,2.3
"Bailey Ruin",0,0,0,9721.21,234,0,0,0,0,2420.93,0,0,0,0,159.5,0,0,800.87,6.79,0,0,13,0,13,1,70.34
"NA 4566",0,0,0,20,6,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,3,0,0,0,0
"Pottery Hill--Silver Creek",0,0,0,5017,326,0,0,0,0,24,0,0,0,0,246,0,0,53,0,0,0,1,0,7,1,0
"Pinedale Ruin",0,0,0,275.43,9,0,0,0,0,8.78,0,0,0,0,3.12,0,0,140.44,0,0,0,0,0,0,0,0.1
"Blue Springs Ruin",0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0.34,0,0,0.23,0,0,0,0,0,0,0,0
"Tundastusa",0,0,0,299.57,163,0,0,0,0,28.78,0,0,0,0,63.52,0,0,53.27,0,0,0,0,0,0,0,0.12
"Sherwood Ranch",0,0,0,50,15,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"Bean Patch",0,0,0,18.48,4.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garcia Ranch",0,0,0,296.84,182.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0
"Broken K Pueblo",0,0,0,1679.7,779.87,0,0,0,0,0,0,0,0,0,84.12,0,0,0,0,0,0,0.67,0,0.39,0,0
"Hardscrabble Ruin",0,0,0,68.24,49.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puerco Ruin",0,0,0,28.64,0,0,2,0,29,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17.96,2.99
"Wallace Tank Ruin",0,0,0,18.47,16,0,2,0,1,1.81,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,40.95,2.37
"Seven Springs",0,0,0,63.89,42.42,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Malpais Spring",0,0,0,0.28,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,14.67,0,0
